NAME,median_household_income,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value,median_gross_rent,owner-occupied_housing_units,renter-occupied_housing_units,state,county,tract
Census Tract 101; Baltimore city; Maryland,152969,78617.0,121,2562,1924,16,1908,1048,481,218,127,2282,370900,2105,1138,206,24,510,010100
Census Tract 102; Baltimore city; Maryland,117243,69363.0,149,2857,2085,13,2072,1024,457,148,103,2385,313100,2211,1010,321,24,510,010200
Census Tract 103; Baltimore city; Maryland,152248,83318.0,134,2075,1742,33,1709,806,366,217,56,1766,338900,2635,702,280,24,510,010300
Census Tract 104; Baltimore city; Maryland,132012,110654.0,94,2961,2081,133,1948,908,701,317,117,2518,385600,2055,963,581,24,510,010400
Census Tract 105; Baltimore city; Maryland,108011,60969.0,213,1896,1171,45,1126,479,340,49,150,1394,396700,1466,438,392,24,510,010500
Census Tract 201; Baltimore city; Maryland,108901,73287.0,174,1698,1317,20,1297,571,261,156,63,1284,310500,1791,491,370,24,510,020100
Census Tract 202; Baltimore city; Maryland,87917,59919.0,241,1454,1045,23,1022,447,229,71,48,1202,342600,1511,369,422,24,510,020200
Census Tract 203; Baltimore city; Maryland,107895,94521.0,338,3824,3031,33,2998,1304,715,348,254,3470,416900,2073,624,1812,24,510,020300
Census Tract 301; Baltimore city; Maryland,35798,33298.0,849,1709,785,165,620,226,46,0,0,1237,249000,-666666666,132,758,24,510,030100
Census Tract 302; Baltimore city; Maryland,114630,79473.0,428,2706,1911,56,1855,667,402,123,257,2349,437300,1843,679,725,24,510,030200
Census Tract 401; Baltimore city; Maryland,67277,61404.0,869,5901,4452,145,4307,1833,902,660,158,4962,312500,1665,146,4047,24,510,040100
Census Tract 402; Baltimore city; Maryland,40625,23372.0,350,723,586,17,569,138,122,45,26,562,-666666666,1416,14,392,24,510,040200
Census Tract 601; Baltimore city; Maryland,63417,35006.0,584,2935,1520,44,1476,552,354,119,36,2063,253500,1774,747,396,24,510,060100
Census Tract 602; Baltimore city; Maryland,68417,49467.0,652,2575,1405,134,1271,424,294,78,13,1936,230100,1642,519,564,24,510,060200
Census Tract 603; Baltimore city; Maryland,102946,58722.0,130,1489,1045,42,1003,441,211,74,65,1177,280700,1516,413,306,24,510,060300
