NAME,high_school_completion_25plus,bachelor's_degree_or_higher_25plus,unemployment_rate,broadband_internet_subscription,uninsured_population,total_civilian_noninstitutionalized_population,population_with_a_disability,total_population_disability_universe,state,county,tract,median_household_income,population_below_poverty,total_population_poverty_universe,owner-occupied_housing_units,renter-occupied_housing_units,median_home_value,median_gross_rent,vacant_housing_units,total_housing_units,public_transportation_to_work,total_workers_transportation_universe,total_population,median_age,children_in_married-couple_families,children_in_single-parent_families,total_children,total_population_5plus_language_universe,speak_only_english,foreign-born_population,"white_alone,_not_hispanic",black_or_african_american_alone,hispanic_or_latino,asian_alone,male_under_5_years,female_under_5_years,male_65_years_and_over,female_65_years_and_over,poverty_rate,vacancy_rate,public_transit_rate,uninsured_rate,disability_rate,single_parent_rate,foreign_born_rate,home_ownership_rate
Census Tract 1001; Baltimore city; Maryland,76.7,10.8,18.2,40.1,98.0,1536,579,1536,24,510,100100,30769,431,1536,324,494,103900,426,205,1023,80,489,1541,49.3,0,0,41,1501,69,9,48,1433,51,9,16,24,43,68,28.06,20.04,16.36,6.38,37.7,0.0,0.58,39.61
Census Tract 1002; Baltimore city; Maryland,74.4,4.0,7.1,49.0,89.9,2307,545,2307,24,510,100200,22529,1215,2307,97,951,118400,411,124,1172,274,567,2715,39.4,128,34,749,2519,553,209,68,2590,20,0,110,86,13,41,52.67,10.58,48.32,3.9,23.62,4.54,7.7,9.26
Census Tract 1003; Baltimore city; Maryland,60.6,0.3,-666666666.0,-666666666.0,-666666666.0,0,0,0,24,510,100300,-666666666,0,0,0,0,-666666666,-666666666,0,0,0,0,1999,31.0,0,0,0,1999,0,42,277,1476,112,46,0,0,9,0,,,,-inf,,,2.1,
Census Tract 101; Baltimore city; Maryland,97.5,82.1,0.8,87.6,96.1,2606,208,2606,24,510,010100,152969,121,2562,1138,206,370900,2105,299,1643,92,1908,2755,34.3,223,12,261,2637,155,140,2151,270,192,88,65,53,12,56,4.72,18.2,4.82,3.69,7.98,4.6,5.08,84.67
Census Tract 102; Baltimore city; Maryland,94.0,72.6,0.6,87.2,98.3,2853,134,2853,24,510,010200,117243,149,2857,1010,321,313100,2211,99,1430,43,2049,2867,31.9,271,48,396,2542,66,75,2452,60,53,65,250,75,4,30,5.22,6.92,2.1,3.45,4.7,12.12,2.62,75.88
Census Tract 103; Baltimore city; Maryland,97.6,81.8,1.9,82.9,100.0,2058,91,2058,24,510,010300,152248,134,2075,702,280,338900,2635,170,1152,10,1722,2075,31.6,147,0,155,1996,84,40,1763,0,86,182,62,17,10,12,6.46,14.76,0.58,4.86,4.42,0.0,1.93,71.49
Census Tract 104; Baltimore city; Maryland,94.6,81.1,6.4,87.8,96.9,2932,215,2932,24,510,010400,132012,94,2961,963,581,385600,2055,205,1749,46,1940,2961,36.1,207,0,207,2607,0,112,2174,182,343,142,221,133,34,0,3.17,11.72,2.37,3.3,7.33,0.0,3.78,62.37
Census Tract 105; Baltimore city; Maryland,94.6,73.0,3.8,89.5,92.8,1896,208,1896,24,510,010500,108011,213,1896,438,392,396700,1466,148,978,19,1122,1914,32.0,250,73,369,1769,119,136,1354,116,273,22,69,76,9,14,11.23,15.13,1.69,4.89,10.97,19.78,7.11,52.77
Census Tract 1101; Baltimore city; Maryland,98.2,75.5,3.9,70.4,93.1,2737,262,2737,24,510,110100,61103,413,2757,285,1639,159900,1524,308,2232,464,2034,2757,30.7,24,0,41,2718,0,418,1770,618,98,90,20,19,0,0,14.98,13.8,22.81,3.4,9.57,0.0,15.16,14.81
Census Tract 1102; Baltimore city; Maryland,93.7,66.1,2.7,67.0,97.6,6132,1016,6132,24,510,110200,70919,1190,5974,618,3495,302200,1262,449,4562,683,4121,6135,36.4,371,42,413,6001,221,399,2832,1726,365,454,38,96,67,153,19.92,9.84,16.57,1.59,16.57,10.17,6.5,15.03
Census Tract 1201; Baltimore city; Maryland,100.0,83.4,4.3,75.9,99.0,4291,488,4291,24,510,120100,94236,423,4312,1200,1242,466700,1405,273,2715,127,2846,4312,53.0,381,0,425,4132,191,691,2301,634,430,722,72,108,126,59,9.81,10.06,4.46,2.31,11.37,0.0,16.03,49.14
Census Tract 1202.01; Baltimore city; Maryland,98.3,83.3,2.6,83.9,97.1,1954,127,1954,24,510,120201,102083,237,1951,451,424,335000,1679,71,946,117,1184,1962,33.8,215,12,282,1874,220,99,1313,251,186,83,43,45,12,8,12.15,7.51,9.88,4.97,6.5,4.26,5.05,51.54
Census Tract 1202.02; Baltimore city; Maryland,99.2,86.0,12.2,78.0,93.9,4889,227,4889,24,510,120202,28352,909,2378,365,1227,278600,1215,281,1873,206,1941,4908,21.0,0,0,0,4908,24,658,2149,463,561,1380,0,0,29,13,38.23,15.0,10.61,1.92,4.64,,13.41,22.93
Census Tract 1203; Baltimore city; Maryland,88.8,54.9,5.4,71.3,95.3,3954,559,3954,24,510,120300,70776,844,3954,696,846,273400,1151,173,1715,370,2160,3954,33.1,299,100,542,3633,444,136,1536,1854,229,54,237,84,22,9,21.35,10.09,17.13,2.41,14.14,18.45,3.44,45.14
Census Tract 1204; Baltimore city; Maryland,93.1,45.6,6.4,75.7,91.0,1584,213,1584,24,510,120400,51700,405,1590,285,479,327200,1099,174,938,176,872,1590,35.1,34,42,291,1514,276,12,471,1047,25,12,68,8,0,9,25.47,18.55,20.18,5.74,13.45,14.43,0.75,37.3
Census Tract 1205; Baltimore city; Maryland,91.4,55.7,4.2,78.1,98.7,2237,312,2237,24,510,120500,56776,384,2216,465,765,334400,1354,211,1441,230,1486,2266,32.9,115,4,203,2121,170,96,766,1181,54,148,43,102,8,0,17.33,14.64,15.48,4.41,13.95,1.97,4.24,37.8
Census Tract 1206; Baltimore city; Maryland,87.1,49.1,11.4,65.6,92.6,2593,660,2593,24,510,120600,30887,704,2593,243,1357,299400,947,285,1885,417,1294,2805,36.0,221,42,263,2673,55,83,1195,1203,156,107,84,48,12,19,27.15,15.12,32.23,3.57,25.45,15.97,2.96,15.19
Census Tract 1207; Baltimore city; Maryland,94.2,60.1,8.2,69.7,92.3,1966,243,1966,24,510,120700,68929,266,1966,492,514,228900,1580,133,1139,154,1175,1966,31.7,172,20,233,1925,61,132,1321,119,258,227,16,25,26,14,13.53,11.68,13.11,4.69,12.36,8.58,6.71,48.91
Census Tract 1301; Baltimore city; Maryland,84.9,24.4,6.6,47.1,90.7,3040,691,3040,24,510,130100,30048,868,3040,271,1461,358900,1073,171,1903,467,1458,3044,38.6,266,0,350,2919,293,84,226,2642,19,0,114,11,16,91,28.55,8.99,32.03,2.98,22.73,0.0,2.76,15.65
Census Tract 1302; Baltimore city; Maryland,91.6,36.4,8.3,74.2,94.7,2390,330,2390,24,510,130200,66795,183,2390,534,667,339800,1130,227,1428,214,1362,2396,45.2,71,40,209,2274,126,42,631,1690,0,6,0,122,27,32,7.66,15.9,15.71,3.96,13.81,19.14,1.75,44.46
Census Tract 1303; Baltimore city; Maryland,82.3,18.8,1.7,55.4,91.2,1844,395,1844,24,510,130300,49063,360,1844,292,563,148100,1270,407,1262,265,911,1844,38.4,177,0,387,1782,325,9,127,1600,13,21,0,62,0,31,19.52,32.25,29.09,4.95,21.42,0.0,0.49,34.15
Census Tract 1304; Baltimore city; Maryland,86.0,12.8,6.8,38.7,94.7,2081,566,2081,24,510,130400,45192,530,2088,256,462,112700,1115,374,1092,226,742,2092,39.0,10,0,181,2047,519,4,75,1943,59,7,10,35,8,22,25.38,34.25,30.46,4.55,27.2,0.0,0.19,35.65
Census Tract 1306; Baltimore city; Maryland,97.2,72.2,1.3,88.9,99.2,3774,264,3774,24,510,130600,101333,234,3748,1104,738,279800,2071,167,2009,114,2716,3774,34.4,335,22,357,3519,132,177,3290,30,127,188,104,151,18,0,6.24,8.31,4.2,2.63,7.0,6.16,4.69,59.93
Census Tract 1307; Baltimore city; Maryland,91.3,67.5,4.3,81.3,96.6,4603,793,4603,24,510,130700,83789,500,4614,1270,1365,300300,1487,225,2860,167,2738,4715,39.2,309,38,427,4443,155,320,3516,449,293,252,183,89,56,35,10.84,7.87,6.1,2.1,17.23,8.9,6.79,48.2
Census Tract 1308.03; Baltimore city; Maryland,91.0,46.5,0.7,66.2,96.0,2352,201,2352,24,510,130803,76841,156,2352,689,602,230800,1350,54,1345,110,1619,2352,37.4,289,15,317,2233,28,220,1422,98,223,380,51,68,32,28,6.63,4.01,6.79,4.08,8.55,4.73,9.35,53.37
Census Tract 1308.04; Baltimore city; Maryland,93.7,60.2,3.4,81.8,95.2,1530,159,1530,24,510,130804,70026,172,1530,479,412,251700,1606,56,947,70,1076,1530,37.7,48,0,107,1508,96,59,1213,142,56,64,11,11,15,10,11.24,5.91,6.51,6.22,10.39,0.0,3.86,53.76
Census Tract 1308.05; Baltimore city; Maryland,91.3,39.1,13.9,71.4,95.1,1099,264,1099,24,510,130805,61983,156,1099,356,238,171400,725,40,634,71,461,1099,58.0,43,0,91,1080,80,16,162,740,76,23,6,13,32,31,14.19,6.31,15.4,8.65,24.02,0.0,1.46,59.93
Census Tract 1308.06; Baltimore city; Maryland,87.1,58.1,6.0,83.1,92.1,1546,199,1546,24,510,130806,106118,185,1546,485,221,236100,1756,61,767,112,998,1726,43.6,159,9,202,1679,147,31,1328,212,53,53,18,29,0,21,11.97,7.95,11.22,5.96,12.87,4.46,1.8,68.7
Census Tract 1401; Baltimore city; Maryland,86.2,56.8,8.3,55.3,97.1,3853,604,3853,24,510,140100,63601,462,3196,599,1411,479300,1116,330,2340,119,1926,3853,47.6,162,0,162,3780,103,209,2132,1113,51,331,25,48,0,62,14.46,14.1,6.18,2.52,15.68,0.0,5.42,29.8
