NAME_health,high_school_completion_25plus,bachelor's_degree_or_higher_25plus,unemployment_rate,broadband_internet_subscription,uninsured_population,total_civilian_noninstitutionalized_population,population_with_a_disability,total_population_disability_universe,state,county,tract,median_household_income_health,population_below_poverty,total_population_poverty_universe,owner-occupied_housing_units_health,renter-occupied_housing_units_health,median_home_value_health,median_gross_rent_health,vacant_housing_units,total_housing_units,public_transportation_to_work,total_workers_transportation_universe,total_population,median_age,children_in_married-couple_families,children_in_single-parent_families,total_children,total_population_5plus_language_universe,speak_only_english,foreign-born_population,"white_alone,_not_hispanic",black_or_african_american_alone,hispanic_or_latino,asian_alone,male_under_5_years,female_under_5_years,male_65_years_and_over,female_65_years_and_over,poverty_rate,vacancy_rate,public_transit_rate,uninsured_rate,disability_rate,single_parent_rate,foreign_born_rate,home_ownership_rate,NAME_econ,median_household_income_econ,per_capita_income,population_below_poverty_level,total_population_for_poverty_status,civilian_labor_force,unemployed,employed,bachelor's_degree,master's_degree,professional_degree,doctorate_degree,total_population_25+,median_home_value_econ,median_gross_rent_econ,owner-occupied_housing_units_econ,renter-occupied_housing_units_econ,renters_cost_burden_30_35_pct,renters_cost_burden_35_40_pct,renters_cost_burden_40_50_pct,renters_cost_burden_50plus_pct,total_renter_households_cost,owners_cost_burden_30_35_pct,owners_cost_burden_35_40_pct,owners_cost_burden_40_50_pct,owners_cost_burden_50plus_pct,total_owner_households_cost,gini_index,households_receiving_snap,total_households_snap_universe,households_with_public_assistance,total_households_assistance_universe,median_earnings_workers,not_in_labor_force,total_workers_commute,commute_60_plus_minutes,commute_90_plus_minutes,NAME_additional,renter_cost_burden_rate,owner_cost_burden_rate,housing_cost_burden_rate,snap_participation_rate,public_assistance_rate,long_commute_rate
Census Tract 101; Baltimore city; Maryland,97.5,82.1,0.8,87.6,96.1,2606,208,2606,24,510,10100,152969,121,2562,1138,206,370900,2105,299,1643,92,1908,2755,34.3,223,12,261,2637,155,140,2151,270,192,88,65,53,12,56,4.72,18.2,4.82,3.69,7.98,4.6,5.08,84.67,Census Tract 101; Baltimore city; Maryland,152969.0,78617.0,121,2562,1924,16,1908,1048,481,218,127,2282,370900,2105,1138,206,0,0,24,13,206,39,24,25,134,1138,0.3475,48,1344,73,1344,91042.0,0,1594,63,25,Census Tract 101; Baltimore city; Maryland,17.96116504854369,19.50790861159929,19.270833333333336,3.571428571428571,5.43154761904762,3.9523212045169385
Census Tract 102; Baltimore city; Maryland,94.0,72.6,0.6,87.2,98.3,2853,134,2853,24,510,10200,117243,149,2857,1010,321,313100,2211,99,1430,43,2049,2867,31.9,271,48,396,2542,66,75,2452,60,53,65,250,75,4,30,5.22,6.92,2.1,3.45,4.7,12.12,2.62,75.88,Census Tract 102; Baltimore city; Maryland,117243.0,69363.0,149,2857,2085,13,2072,1024,457,148,103,2385,313100,2211,1010,321,0,66,14,23,321,59,62,43,60,1010,0.3752,55,1331,64,1331,78580.0,14,1518,74,12,Census Tract 102; Baltimore city; Maryland,32.087227414330215,22.17821782178218,24.5679939894816,4.132231404958678,4.808414725770098,4.874835309617918
Census Tract 103; Baltimore city; Maryland,97.6,81.8,1.9,82.9,100.0,2058,91,2058,24,510,10300,152248,134,2075,702,280,338900,2635,170,1152,10,1722,2075,31.6,147,0,155,1996,84,40,1763,0,86,182,62,17,10,12,6.46,14.76,0.58,4.86,4.42,0.0,1.93,71.49,Census Tract 103; Baltimore city; Maryland,152248.0,83318.0,134,2075,1742,33,1709,806,366,217,56,1766,338900,2635,702,280,0,22,0,11,280,42,0,13,18,702,0.2987,28,982,34,982,81071.0,17,1373,47,23,Census Tract 103; Baltimore city; Maryland,11.785714285714285,10.3988603988604,10.79429735234216,2.8513238289205702,3.462321792260693,3.423160961398398
Census Tract 104; Baltimore city; Maryland,94.6,81.1,6.4,87.8,96.9,2932,215,2932,24,510,10400,132012,94,2961,963,581,385600,2055,205,1749,46,1940,2961,36.1,207,0,207,2607,0,112,2174,182,343,142,221,133,34,0,3.17,11.72,2.37,3.3,7.33,0.0,3.78,62.37,Census Tract 104; Baltimore city; Maryland,132012.0,110654.0,94,2961,2081,133,1948,908,701,317,117,2518,385600,2055,963,581,79,5,27,79,581,52,29,0,136,963,0.5412,85,1544,99,1544,80355.0,29,1530,48,27,Census Tract 104; Baltimore city; Maryland,32.70223752151463,22.533748701973,26.360103626943005,5.505181347150259,6.411917098445596,3.1372549019607843
Census Tract 105; Baltimore city; Maryland,94.6,73.0,3.8,89.5,92.8,1896,208,1896,24,510,10500,108011,213,1896,438,392,396700,1466,148,978,19,1122,1914,32.0,250,73,369,1769,119,136,1354,116,273,22,69,76,9,14,11.23,15.13,1.69,4.89,10.97,19.78,7.11,52.77,Census Tract 105; Baltimore city; Maryland,108011.0,60969.0,213,1896,1171,45,1126,479,340,49,150,1394,396700,1466,438,392,55,12,8,76,392,23,6,0,28,438,0.4368,51,830,68,830,67685.0,0,859,16,2,Census Tract 105; Baltimore city; Maryland,38.52040816326531,13.013698630136986,25.060240963855424,6.144578313253012,8.19277108433735,1.8626309662398133
Census Tract 201; Baltimore city; Maryland,97.6,81.9,1.5,84.1,98.5,1681,113,1681,24,510,20100,108901,174,1698,491,370,310500,1791,155,1016,21,1306,1698,31.2,103,6,109,1652,62,97,1122,237,239,70,10,36,18,22,10.25,15.26,1.61,5.86,6.72,5.5,5.71,57.03,Census Tract 201; Baltimore city; Maryland,108901.0,73287.0,174,1698,1317,20,1297,571,261,156,63,1284,310500,1791,491,370,23,0,8,24,370,4,4,6,55,491,0.379,33,861,42,861,72619.0,17,908,34,22,Census Tract 201; Baltimore city; Maryland,14.864864864864863,14.052953156822811,14.40185830429733,3.8327526132404177,4.878048780487805,3.744493392070485
Census Tract 202; Baltimore city; Maryland,96.8,66.1,2.2,73.6,96.0,1480,140,1480,24,510,20200,87917,241,1454,369,422,342600,1511,161,952,32,1016,1480,33.4,103,7,133,1457,58,84,905,226,195,80,7,16,0,14,16.57,16.91,3.15,6.49,9.46,5.26,5.68,46.65,Census Tract 202; Baltimore city; Maryland,87917.0,59919.0,241,1454,1045,23,1022,447,229,71,48,1202,342600,1511,369,422,36,42,47,87,422,11,16,9,10,369,0.4558,91,791,94,791,67910.0,0,760,11,21,Census Tract 202; Baltimore city; Maryland,50.23696682464455,12.466124661246612,32.61694058154235,11.50442477876106,11.883691529709228,1.4473684210526316
Census Tract 203; Baltimore city; Maryland,98.8,75.5,1.1,86.9,98.9,3824,221,3824,24,510,20300,107895,338,3824,624,1812,416900,2073,412,2848,74,2982,3824,34.6,88,0,119,3736,31,340,2845,369,143,324,21,67,77,45,8.84,14.47,2.48,2.59,5.78,0.0,8.89,25.62,Census Tract 203; Baltimore city; Maryland,107895.0,94521.0,338,3824,3031,33,2998,1304,715,348,254,3470,416900,2073,624,1812,106,115,94,312,1812,0,0,43,33,624,0.4399,55,2436,55,2436,89398.0,0,2460,138,27,Census Tract 203; Baltimore city; Maryland,34.602649006622514,12.17948717948718,28.858784893267654,2.257799671592775,2.257799671592775,5.609756097560976
Census Tract 301; Baltimore city; Maryland,79.9,22.0,21.0,68.2,96.6,1709,265,1709,24,510,30100,35798,849,1709,132,758,249000,-666666666,268,1158,28,620,1709,36.6,7,0,375,1571,258,16,239,1425,16,17,96,42,28,36,49.68,23.14,4.52,5.65,15.51,0.0,0.94,14.83,Census Tract 301; Baltimore city; Maryland,35798.0,33298.0,849,1709,785,165,620,226,46,0,0,1237,249000,-666666666,132,758,55,17,0,53,758,5,0,0,20,132,0.5745,417,890,417,890,64556.0,0,425,13,0,Census Tract 301; Baltimore city; Maryland,16.490765171503956,18.939393939393938,16.853932584269664,46.853932584269664,46.853932584269664,3.058823529411765
Census Tract 302; Baltimore city; Maryland,93.7,61.7,2.9,87.7,98.7,2706,374,2706,24,510,30200,114630,428,2706,679,725,437300,1843,142,1546,139,1839,2715,38.1,26,5,190,2665,68,102,1583,611,195,220,0,50,34,12,15.82,9.18,7.56,3.65,13.82,2.63,3.76,48.36,Census Tract 302; Baltimore city; Maryland,114630.0,79473.0,428,2706,1911,56,1855,667,402,123,257,2349,437300,1843,679,725,0,55,8,136,725,75,0,0,68,679,0.4321,39,1404,39,1404,77019.0,0,1435,98,37,Census Tract 302; Baltimore city; Maryland,27.448275862068964,21.06038291605302,24.35897435897436,2.7777777777777777,2.7777777777777777,6.829268292682928
